p_val	avg_logFC	pct.1	pct.2	p_val_adj
Rps17	6.34787003271501e-13	-0.200261408716773	0.951	0.988	8.65278164159383e-09
Amacr	6.61454100375623e-13	-0.0114711079506967	0.078	0.157	9.01628084222011e-09
Ldlrad4	7.36696626679963e-13	0.0396939184687072	0.19	0.091	1.00419117182746e-08
Mettl7a1	8.37614364224072e-13	0.0494295545254806	0.151	0.042	1.14175213987383e-08
Abhd14b	9.1843186200937e-13	-0.0411191033605961	0.042	0.113	1.25191447110497e-08
Rps29	9.47954711913727e-13	-0.114143692066484	1	1	1.2921570678096e-08
Hemk1	1.24529243944615e-12	-0.0287068361662519	0.033	0.125	1.69745812420905e-08
Mfsd8	1.58452439358253e-12	-0.0150536875244924	0.046	0.118	2.15986520089234e-08
Dcaf1	2.0757320883118e-12	-0.0144129224007046	0.106	0.199	2.82943040957781e-08
Golm1	2.98949549652981e-12	-0.0607008964947229	0.06	0.14	4.07498131131978e-08
Fbxw7	4.19522515646068e-12	-0.0262551841568575	0.075	0.154	5.71851141077155e-08
Fos	4.24400322064943e-12	-0.710674845459312	0.383	0.539	5.78500079006724e-08
Riok2	4.436748680146e-12	0.0563286892191146	0.178	0.081	6.04773212590701e-08
Hdac6	4.45049996923349e-12	0.00963202778842256	0.045	0.105	6.06647650806216e-08
Poc1a	4.62301631662868e-12	0.0193359150255939	0.103	0.022	6.30163354119656e-08
Zfp354c	5.35322652281583e-12	0.00521437720068525	0.061	0.137	7.29698307325026e-08
Xist	5.43220367937753e-12	0.597192455798623	0.654	0.527	7.40463683535951e-08
Iffo2	5.52771737075055e-12	0.00176521377974492	0.063	0.157	7.53483154807008e-08
Rab7b	7.73922738286406e-12	0.0139424913855428	0.059	0.154	1.0549340845582e-07
4833445I07Rik	8.52319845802103e-12	0.000499101565104732	0.061	0.164	1.16179718181285e-07
Rpl19	8.93116183557804e-12	-0.138139862334191	0.996	1	1.21740666980764e-07
Hells	9.36460844918826e-12	0.0459823870562352	0.143	0.066	1.27648977770885e-07
Rpl34	1.11843481025326e-11	-0.139190361150161	0.996	1	1.52453848985622e-07
Kiz	1.13855681507497e-11	0.0328809762495016	0.131	0.054	1.55196679462869e-07
Htt	1.20287994272314e-11	-0.0636855558288047	0.072	0.167	1.63964564992591e-07
Rpl11	1.29793984861711e-11	-0.149426166304874	0.988	0.998	1.76922180764998e-07
Mgrn1	1.74110276051801e-11	0.067757697959204	0.2	0.105	2.3732971728621e-07
Ccna2	1.74476344357777e-11	-0.0106446314090264	0.062	0.13	2.37828704994086e-07
Cfap46	1.79170230014839e-11	-0.0349673636190923	0.044	0.132	2.44226940533227e-07
P2rx1	1.83227093715553e-11	0.00362997390773222	0.037	0.113	2.4975685144367e-07
Rps26	2.21649855144541e-11	-0.18716957101058	0.954	0.99	3.02130917547524e-07
Tgtp2	2.44921487385801e-11	-0.0764367967709593	0.065	0.159	3.33852479455585e-07
Rpl29	2.61830023442333e-11	-0.240383857510957	0.853	0.956	3.56900504954244e-07
Snhg11	3.29404763690217e-11	-0.00951926121372032	0.06	0.147	4.49011633386135e-07
3110082I17Rik	3.36368762356866e-11	0.0374454980720974	0.052	0.13	4.58504259968644e-07
Herpud2	3.3731108588045e-11	0.0749843187760767	0.219	0.125	4.59788741163642e-07
Gab3	3.37492058505041e-11	0.0210063862978273	0.149	0.064	4.60035424948221e-07
Vmp1	4.02605130116265e-11	0.181912832180457	0.204	0.1	5.4879105286148e-07
Mcrip2	4.06238796639135e-11	-0.0192841309937985	0.147	0.064	5.53744103698804e-07
Eef1b2	4.17450233345997e-11	-0.274082860972986	0.61	0.801	5.69026413073929e-07
Acap2	4.23078386762079e-11	-0.10911548716433	0.151	0.25	5.7669814899539e-07
Phka2	4.42613884654052e-11	0.0157714516903295	0.032	0.113	6.03326986171938e-07
Amz2	4.62728750743327e-11	-0.0124211110586581	0.133	0.225	6.30745560138228e-07
Hras	4.66897829073561e-11	0.015596235884962	0.056	0.152	6.36428430810171e-07
Slc26a11	5.15239394580206e-11	-0.0296341245140846	0.148	0.049	7.02322818752279e-07
Ppp4r1	5.64868342739606e-11	-0.0177062334542473	0.048	0.13	7.69972037988357e-07
Hist1h1d	6.05790600618658e-11	0.00670155704992443	0.078	0.167	8.25753167703293e-07
Tfdp1	6.17670607610363e-11	0.0194108999128029	0.059	0.127	8.41946805233686e-07
Eef1g	6.50868256704042e-11	-0.283535613296748	0.67	0.865	8.8719852071328e-07
Rpl26	7.38776477460678e-11	-0.15217653297304	0.988	1	1.00702621642665e-06
Sdf2	9.61535555370764e-11	-0.0891356336028996	0.119	0.218	1.31066911552589e-06
Fam120c	1.09318029512259e-10	0.00437069929008171	0.045	0.118	1.4901140602816e-06
Tmsb10	1.09620908432837e-10	0.126598144057959	1	1	1.494242602848e-06
Gm14295	1.17289879104296e-10	-0.0206503511965105	0.043	0.13	1.59877834207065e-06
Mfsd5	1.23959099829243e-10	-0.0166323330226276	0.131	0.218	1.68968648977242e-06
Fam92a	1.32109850619076e-10	0.0354267208696175	0.088	0.169	1.80078937378863e-06
Tpt1	1.33411552205779e-10	-0.158804386889972	0.982	0.998	1.81853286811697e-06
Ccdc97	1.45719768692356e-10	-0.000648627728990075	0.097	0.181	1.98630616704551e-06
Cd3g	1.46227198533673e-10	0.273399907662463	0.922	0.895	1.9932229432125e-06
Spindoc	1.50067036309038e-10	0.0473971077624945	0.118	0.029	2.0455637719285e-06
Zfhx2	1.52505624875881e-10	-0.0566147278277797	0.036	0.11	2.07880417268314e-06
Rpl36a	1.63443244988019e-10	-0.2326104575431	0.795	0.931	2.22789487243169e-06
Pus7l	1.79601605844505e-10	-0.0207358382154087	0.088	0.179	2.44814948926645e-06
Zfp524	1.84368180252452e-10	0.0833587485802286	0.175	0.076	2.51312266502117e-06
Ddx49	1.89690194116769e-10	-0.0371363521680861	0.136	0.225	2.58566703600567e-06
Stx2	2.15082977066309e-10	-0.0563302647134716	0.094	0.179	2.93179606039085e-06
Trav16n	2.23382531340943e-10	0.0154951671693688	0.04	0.132	3.04492728470839e-06
Rpl5	2.58883077851329e-10	-0.235048825338722	0.811	0.914	3.52883523419147e-06
Zfp664	2.94912493757411e-10	0.0545117664381592	0.123	0.196	4.01995220240726e-06
Rps21	3.08548897955113e-10	-0.173679252006814	0.935	0.978	4.20583002802615e-06
Tbp	3.51331925689527e-10	0.039812346850788	0.143	0.069	4.78900547907395e-06
Bcl2l12	4.72447623617951e-10	0.0187794799474309	0.086	0.167	6.4399335575363e-06
Ypel2	4.75187969514049e-10	0.00262893412623921	0.052	0.135	6.477287212446e-06
Mtif2	4.80630750005825e-10	-0.0552073147258887	0.126	0.216	6.55147775332939e-06
Gm26759	6.02428837721352e-10	-0.0445101459280867	0.088	0.189	8.21170748697975e-06
1810024B03Rik	6.0615818076271e-10	0.0475578496703822	0.08	0.154	8.2625421619765e-06
Atf5	6.13652574006658e-10	-0.00338475746015703	0.118	0.196	8.36469823628475e-06
Nxn	6.95952039125256e-10	-0.0245418637821429	0.035	0.115	9.48652224531636e-06
Kifc2	7.09395969255053e-10	-0.00127715406690505	0.048	0.123	9.66977645691562e-06
Gramd1b	7.65404760308578e-10	-0.00919455875473791	0.055	0.145	1.04332322877662e-05
Zfp715	7.68224779592256e-10	0.0243972144368006	0.052	0.135	1.0471671970622e-05
Klhl26	7.87833432870092e-10	0.0364543174683905	0.075	0.142	1.07389575234522e-05
Cfap43	8.45856099112132e-10	0.0168058924569255	0.099	0.176	1.15298644869975e-05
B3galt6	9.15803474485083e-10	-0.0319409748251274	0.057	0.132	1.24833171607062e-05
Irf1	9.17506305158448e-10	-0.139301261300448	0.218	0.336	1.25065284456148e-05
Trav14n-3	9.31603651707382e-10	0.0134165325761172	0.102	0.027	1.26986893764233e-05
Ripor1	9.75642484155145e-10	0.0391246310316302	0.094	0.147	1.32989827015188e-05
Trac	1.11467463298297e-09	0.26612103773329	0.871	0.828	1.51941299221908e-05
Ckb	1.12385688935206e-09	0.226862043450972	0.226	0.125	1.53192932587579e-05
Fam120b	1.13835475093582e-09	0.0506158774037932	0.17	0.081	1.55169136100062e-05
Spag5	1.2208021948524e-09	-0.0138502579353425	0.046	0.127	1.66407547180331e-05
Marcksl1	1.28735456820908e-09	-0.128047649280329	0.181	0.27	1.75479301192579e-05
Crim1	1.3525830186062e-09	-0.0677282414472763	0.083	0.159	1.84370591266212e-05
Gm10655	1.37489065592814e-09	0.0179473186479239	0.128	0.025	1.87411345309565e-05
Cabp1	1.38191844856327e-09	-0.0318495584908855	0.126	0.071	1.8836930372366e-05
Ttll5	1.4267676068316e-09	0.000225677342946307	0.051	0.14	1.94482692487215e-05
Ppp1r15a	1.45673712709684e-09	-0.326630699808529	0.528	0.689	1.98567837794571e-05
Cd59a	1.61228440096235e-09	-0.0538818907955688	0.052	0.135	2.19770486695178e-05
Ralgapb	1.72793412899732e-09	0.0611606381590328	0.169	0.088	2.35534701123625e-05
Btg1	1.73219771073044e-09	0.262518286354457	0.974	0.961	2.36115869949666e-05
Fam89a	1.93074066304545e-09	0.0201960415847454	0.033	0.11	2.63179259779725e-05
Cep120	1.99858544105942e-09	0.0902703905378119	0.168	0.081	2.7242718147081e-05
Tmsb4x	2.03606049750622e-09	0.11188554756013	1	1	2.77535406415073e-05
Cap2	2.16296412290361e-09	0.0379227034166042	0.134	0.047	2.94833639592991e-05
Cdc45	2.27499399317235e-09	-0.00693880957604885	0.108	0.027	3.10104431209323e-05
Tmcc1	2.33668821559067e-09	0.0597082042838856	0.116	0.196	3.18513970667164e-05
Ahi1	2.40117300645816e-09	0.0292117264759618	0.192	0.113	3.27303892510312e-05
Aven	2.42682717395692e-09	-0.0549979937906154	0.161	0.093	3.30800812082067e-05
Slc25a35	2.45606284563593e-09	0.0131327439033667	0.041	0.113	3.34785926488634e-05
Ankrd37	2.55369251578843e-09	0.0174944602054695	0.075	0.118	3.48093826827121e-05
Ccnb1	2.56306339226404e-09	0.0323922059587897	0.139	0.042	3.49371170999511e-05
Npm1	2.67922422671622e-09	-0.216218664763232	0.791	0.909	3.65205054343689e-05
Sarm1	2.7058229709087e-09	-0.00178844625356284	0.041	0.115	3.68830729164565e-05
Armcx6	2.75507986678419e-09	0.0266308437743391	0.162	0.039	3.75544936641354e-05
Pitpnm1	2.83674061156656e-09	0.0168473474106673	0.104	0.184	3.86676112762638e-05
Aox2	2.91227768257254e-09	-0.00625611502054418	0.138	0.049	3.96972570911462e-05
Kctd12	3.01170231741499e-09	-0.00680462350747535	0.034	0.115	4.10525142886837e-05
Kansl3	3.24932164207067e-09	0.247393386446474	0.201	0.103	4.42915033030653e-05
Csnk1e	3.26321513198799e-09	0.0691221550094299	0.178	0.096	4.44808854641282e-05
Tdp1	3.40944323030948e-09	-0.00404300912067117	0.104	0.181	4.64741206723485e-05
Vps39	3.68077426771983e-09	0.015999114629644	0.167	0.086	5.0172634043289e-05
Pgam1	3.78335128391366e-09	-0.0350181964064373	0.128	0.213	5.15708613510271e-05
Rabl3	3.81288396839906e-09	0.00576282692304646	0.065	0.118	5.19734213732476e-05
Nck2	3.96521755730968e-09	0.0519386415831677	0.173	0.091	5.40498805236882e-05
Cnot2	3.99273357669996e-09	0.0574550034715675	0.126	0.213	5.44249513839971e-05
Il15ra	4.02876086222816e-09	-0.0115119266435618	0.055	0.14	5.4916039313032e-05
Trim59	4.2364515174148e-09	0.0103807662468081	0.196	0.11	5.77470706338811e-05
Gatm	4.26244172803577e-09	0.0131864650514395	0.112	0.017	5.81013431948556e-05
Cnot9	4.31401685363366e-09	-0.0428275985325997	0.057	0.13	5.88043637318804e-05
Qrsl1	4.83847224451613e-09	0.0164434100820851	0.104	0.184	6.59532151649994e-05
Sec24d	5.06796998769832e-09	0.0387226551859163	0.137	0.061	6.90814989023158e-05
Wee1	5.09118581087869e-09	0.00560690051797169	0.11	0.017	6.93979537880874e-05
Gm49336	5.1470544075805e-09	-0.0314187356437493	0.133	0.211	7.01594986297298e-05
BC002059	5.28088035434186e-09	-0.0260384141144092	0.058	0.12	7.19836801100339e-05
Gid4	5.32545741002729e-09	-0.025478979365026	0.093	0.164	7.2591309956082e-05
Itpk1	5.44290904290561e-09	0.0821370599432858	0.173	0.083	7.41922931638464e-05
Ramp1	5.52426830210519e-09	0.460461362457619	0.48	0.365	7.53013012259958e-05
Klf6	6.21039099909646e-09	-0.275735113223863	0.618	0.75	8.46538397086839e-05
1110034G24Rik	6.36125432642146e-09	0.0851153503506979	0.181	0.093	8.67102577234509e-05
Enox2	6.47016438853423e-09	-0.0142740571012039	0.081	0.157	8.819481078011e-05
Gba2	6.57303213479233e-09	0.0832713959586263	0.049	0.123	8.95970010293542e-05
Dtx3l	6.58330617635155e-09	-0.0259825304063641	0.149	0.233	8.97370464898479e-05
Cnga1	7.10892569143179e-09	0.0516188245339339	0.134	0.064	9.69017660999067e-05
0610038B21Rik	7.37045329026383e-09	-0.02065541119671	0.091	0.181	0.000100466648799586
Osbpl2	7.70303513887236e-09	-0.00120015470892029	0.057	0.132	0.000105000071977969
Dcaf4	7.8850342541235e-09	0.0614524067991053	0.2	0.1	0.000107480901917957
Cyp4x1	8.0093088775529e-09	-0.00903386364547383	0.057	0.127	0.000109174889309924
Fau	8.25188250659886e-09	-0.110791973172166	1	0.998	0.000112481410447449
Fam168b	8.34724441012209e-09	0.0155184481850039	0.138	0.218	0.000113781288554374
Sh3bp5l	8.40750121058689e-09	0.0170733788109274	0.136	0.044	0.00011460264900151
Kmt2b	9.15352603719232e-09	-0.0494580556910871	0.105	0.186	0.000124771713412969
Mettl5	9.36222859054748e-09	-0.0607519784493266	0.117	0.199	0.000127616537917753
Gpatch3	9.39097737118856e-09	-0.0216777526264219	0.062	0.154	0.000128008412546671
Pfn1	9.62777108092615e-09	0.17953360117218	0.978	0.978	0.000131236147604104
Zfp689	9.83386385010955e-09	-0.00338676866960477	0.074	0.15	0.000134045398140843
Zfp426	1.0412026820322e-08	-0.0110539948927442	0.093	0.164	0.000141926337587809
Ifi214	1.04613550580554e-08	-0.0246827817243756	0.104	0.186	0.000142598730796353
Esyt2	1.05835701299674e-08	-0.0650652061249706	0.112	0.199	0.000144264644441586
Gbp9	1.06268057251365e-08	-0.00153242408535678	0.125	0.203	0.000144853988839335
Chd9	1.06385956084167e-08	-0.00679700466820568	0.121	0.201	0.000145014696738329
Mfsd14b	1.09850132752111e-08	0.0575685047899544	0.165	0.083	0.000149736715954402
Mrm1	1.12589330797078e-08	-0.0199441679478563	0.065	0.105	0.000153470516809497
Asb7	1.1477139454217e-08	-0.0183367396375178	0.075	0.14	0.000156444887900432
Pole	1.15587345019252e-08	-0.0319285073475113	0.065	0.15	0.000157557109995743
Frmd4b	1.16566135909208e-08	0.0183834743720442	0.081	0.162	0.000158891299857842
Zfyve28	1.18421370717498e-08	-0.0567235940177277	0.089	0.159	0.000161420170425021
Son	1.22761869504677e-08	0.357237934834324	0.687	0.635	0.000167336704321825
Leng8	1.28663660888942e-08	0.0321717192309872	0.122	0.201	0.000175381436157717
Ccdc88b	1.29880774702447e-08	-0.0148772423043866	0.138	0.213	0.000177040483996906
Gemin8	1.31190133801339e-08	-0.0079682137987112	0.091	0.172	0.000178825271384606
Pop4	1.44174272439577e-08	0.0653399629157276	0.204	0.123	0.000196523950762387
Sars2	1.4569526202414e-08	0.0623128736734561	0.081	0.142	0.000198597211665105
Tpk1	1.46146723233721e-08	0.0336853631958933	0.162	0.049	0.000199212598439885
Net1	1.49148642621124e-08	0.114717749416162	0.178	0.086	0.000203304514756855
Zfp418	1.50742347622162e-08	0.0117292522465278	0.06	0.123	0.000205476894043769
Spred2	1.54895897584298e-08	-0.00696257874731761	0.092	0.169	0.000211138597997157
Rpl13a	1.5894940771056e-08	-0.191310126754492	0.863	0.958	0.000216663937650264
Rps27rt	1.61087637206606e-08	-0.148924149494638	0.957	0.988	0.000219578558276325
Dnajc18	1.70472751425549e-08	0.0198090272311161	0.049	0.125	0.000232371407468165
Rps25	1.70869396111625e-08	-0.131228784748015	0.97	0.995	0.000232912073839756
Lrig1	1.74633215901359e-08	-0.0215798806773366	0.048	0.115	0.000238042536595142
Scaf4	1.78406323804614e-08	-0.0435817693926379	0.093	0.167	0.000243185659978069
Cdt1	1.80674533365297e-08	0.102661869148277	0.158	0.076	0.000246277456430236
Tubd1	1.84299438350756e-08	0.0283338249119148	0.11	0.181	0.000251218564415916
Prelid2	1.92033887636556e-08	-0.0568601938806726	0.146	0.228	0.000261761392237389
Rubcnl	1.98141462937471e-08	0.00664428132925555	0.047	0.12	0.000270086628130067
Map2k1	1.98892870560299e-08	0.184243041131801	0.231	0.142	0.000271110871860743
Zfp947	2.06363798457775e-08	0.00773243730154173	0.046	0.118	0.000281294493677793
Rpl38	2.06809687972492e-08	-0.134391661661814	0.982	0.993	0.000281902285675303
Dclk2	2.07140738375932e-08	0.00940134531955096	0.134	0.032	0.000282353540480233
Mir155hg	2.0741759656556e-08	-0.0868614001522559	0.055	0.132	0.000282730925878515
Srf	2.12083116742032e-08	-0.0368464469597651	0.114	0.184	0.000289090496431064
Hdgf	2.25295104910024e-08	-0.05210617838577	0.152	0.238	0.000307099757502854
Prpf18	2.26439825705254e-08	0.0401965017904321	0.191	0.11	0.000308660126418832
Ddx23	2.30169721439057e-08	0.0338387245372874	0.159	0.243	0.000313744347293578
Zfp317	2.34333769382097e-08	-0.0155595967838236	0.118	0.211	0.000319420361044737
Gm8369	2.53373787197167e-08	-0.356254440287096	0.343	0.478	0.000345373809328458
Dgcr8	2.54289579050082e-08	0.0451951909828445	0.171	0.081	0.000346622125203167
Mecr	2.59271419310242e-08	-0.0277339011429008	0.067	0.137	0.000353412871661791
Cdc42ep3	2.66881301423247e-08	-0.0191646855679686	0.159	0.24	0.000363785901970027
Galk2	2.78274862885642e-08	0.0712682799496924	0.186	0.108	0.000379316465599419
Faf1	2.93826610417395e-08	0.0204518580081867	0.083	0.127	0.000400515052659951
Tdg	3.06708990994305e-08	-0.0216603564146711	0.186	0.103	0.000418075025624337
Aarsd1	3.10945470378766e-08	0.022538577689825	0.128	0.069	0.000423849770673295
Sec31a	3.13978003971306e-08	0.0790312361856715	0.198	0.12	0.000427983417213288
Epop	3.60981498552488e-08	-0.0296953602699996	0.056	0.132	0.000492053880676896
Cxcl10	3.67788147624499e-08	-0.0951548262827831	0.074	0.159	0.000501332024026955
Cse1l	3.76357507949957e-08	0.0581772762747504	0.094	0.164	0.000513012919086586
Cyfip2	3.83721930580986e-08	-0.0662371867608105	0.149	0.24	0.000523051363574942
R3hcc1l	3.94884043348516e-08	0.0485370098207692	0.148	0.076	0.000538266439488362
Cds2	4.0513517051763e-08	-0.0169419605764737	0.121	0.203	0.000552239750932581
Hcfc2	4.20316733389554e-08	0.00766808818942549	0.122	0.189	0.000572933739283301
Anxa3	4.21289251077465e-08	-0.0220086894994663	0.111	0.022	0.000574259378143692
Aldh6a1	4.30173325635245e-08	0.00291275412225302	0.074	0.118	0.000586369260173403
Ska2	4.57061901601876e-08	0.0167400283064866	0.092	0.169	0.000623021078073517
Ppm1f	4.9975200386074e-08	0.0315458424568972	0.06	0.108	0.000681211956462575
Cog2	5.00273118846696e-08	-0.0185060950348131	0.075	0.145	0.000681922288299932
Zfp39	5.09136085141546e-08	0.0618373002324991	0.148	0.051	0.000694003397656441
Myzap	5.13253086652896e-08	-0.0173481084783073	0.044	0.105	0.000699615282416563
Gpcpd1	5.36648460467257e-08	-0.0376876348198252	0.122	0.221	0.000731505516462917
Ints3	5.40922508703312e-08	-0.0681458366635274	0.083	0.159	0.000737331471613484
Dicer1	5.50037755344596e-08	0.087451522221757	0.149	0.069	0.000749756464310219
Henmt1	5.88170368671299e-08	0.0176322003974702	0.122	0.029	0.000801735029535848
Acad9	5.97423368532345e-08	-0.0151251619680043	0.152	0.076	0.000814347793646439
Rrnad1	6.09370125767659e-08	-0.0761957270993726	0.12	0.201	0.000830632418433896
Rgs10	6.11857849771772e-08	0.349875200980719	0.646	0.581	0.000834023435023902
Rpl7a	6.14202584863e-08	-0.248992127674866	0.65	0.819	0.000837219543426755
A430046D13Rik	6.64812864855933e-08	0.0301207133779697	0.086	0.152	0.000906206416085123
Relt	6.82674441370386e-08	0.0767601235748307	0.052	0.105	0.000930553531031973
Polr3e	6.92173291469562e-08	-0.0102182870029267	0.088	0.152	0.00094350141360216
