p_val	avg_logFC	pct.1	pct.2	p_val_adj	abs	genename
Rps3	1.11152945672895e-85	-0.312177980771352	0.995	1	1.51512580246723e-81	0.312177980771352	Rps3
Rps14	2.54138747148421e-85	-0.244812283104403	1	1	3.46416526238013e-81	0.244812283104403	Rps14
Rplp1	2.59576473552216e-84	-0.303288950988457	0.996	0.999	3.53828691099025e-80	0.303288950988457	Rplp1
Rps13	8.15780446870201e-81	-0.299336462634483	0.997	1	1.11199032712877e-76	0.299336462634483	Rps13
Rplp2	4.29259771270984e-80	-0.307956988152696	0.992	1	5.85123994219478e-76	0.307956988152696	Rplp2
Rpl8	1.17134196526367e-71	-0.304554931839601	0.991	0.999	1.5966562328509e-67	0.304554931839601	Rpl8
Cd3g	4.80070026716476e-68	0.513371045144853	0.958	0.956	6.54383453417228e-64	0.513371045144853	Cd3g
Eef1a1	6.05935565679317e-68	-0.280492891101752	0.993	1	8.25950769577477e-64	0.280492891101752	Eef1a1
Rpl37	1.07834122915218e-67	-0.252344988010479	0.998	1	1.46988692945734e-63	0.252344988010479	Rpl37
Rpl14	3.3377821176289e-67	-0.280280239025426	0.994	0.999	4.54973080453996e-63	0.280280239025426	Rpl14
Rpl18	5.04334389165839e-67	-0.31870334866314	0.985	0.998	6.87458205871955e-63	0.31870334866314	Rpl18
Rps10	8.54559398232755e-67	-0.334599712900391	0.967	0.997	1.16484991573107e-62	0.334599712900391	Rps10
Rpl36	1.0112073909111e-66	-0.266228154134712	0.995	1	1.37837679455092e-62	0.266228154134712	Rpl36
Rps27a	1.21295359450819e-65	-0.252488704415048	0.996	1	1.65337704467411e-61	0.252488704415048	Rps27a
Rpl34	5.14155678509159e-62	-0.241789071418381	0.994	1	7.00845605375835e-58	0.241789071418381	Rpl34
Ly6c2	1.38226775519478e-61	-1.13387546920751	0.315	0.596	1.884169177106e-57	1.13387546920751	Ly6c2
Rps15	1.43845232640977e-60	-0.263331413298672	0.991	1	1.96075436612916e-56	0.263331413298672	Rps15
Rpl24	1.31184186264378e-59	-0.326913555640691	0.966	0.999	1.78817164296974e-55	0.326913555640691	Rpl24
Rps9	5.25311526790186e-59	-0.254435780404425	0.996	1	7.16052142167702e-55	0.254435780404425	Rps9
Rpl27a	3.40583723518368e-57	-0.257313133003053	0.996	1	4.64249673527888e-53	0.257313133003053	Rpl27a
Rack1	4.38734584199134e-57	-0.461780372703518	0.733	0.939	5.98039111721839e-53	0.461780372703518	Rack1
Rpl36a	2.1793949982441e-56	-0.394287448036187	0.83	0.97	2.97073332210654e-52	0.394287448036187	Rpl36a
Rps29	4.62660293229976e-56	-0.179806900597643	1	1	6.30652245701781e-52	0.179806900597643	Rps29
Rpl26	7.14271984333052e-55	-0.269141638783724	0.988	1	9.73624141844383e-51	0.269141638783724	Rpl26
Dexi	2.30874018009547e-54	-0.0014612582741675	0.029	0.17	3.14704373948813e-50	0.0014612582741675	Dexi
Rpl29	5.97879956323718e-54	-0.372619637666721	0.845	0.978	8.1497016846486e-50	0.372619637666721	Rpl29
Rcan3	1.26831131825935e-53	0.0373481417689381	0.236	0.057	1.72883515791932e-49	0.0373481417689381	Rcan3
Hspb6	3.14814015888011e-53	-0.0104921673255613	0.03	0.181	4.29122985056948e-49	0.0104921673255613	Hspb6
Rpl22l1	1.3377443259145e-52	-0.379047627226755	0.898	0.988	1.82347929065406e-48	0.379047627226755	Rpl22l1
Rps26	5.0722009321975e-52	-0.312776197696091	0.945	0.994	6.91391709067841e-48	0.312776197696091	Rps26
Rps3a1	1.28031692628849e-51	-0.229795983771818	0.995	1	1.74520000222384e-47	0.229795983771818	Rps3a1
Rpl38	1.6184138362412e-50	-0.253095123156881	0.99	0.999	2.20605990018038e-46	0.253095123156881	Rpl38
Eef1b2	1.89660279636488e-50	-0.452378045063055	0.641	0.897	2.58525927172496e-46	0.452378045063055	Eef1b2
Eef1g	4.89833484645724e-49	-0.427574290745588	0.714	0.929	6.67692022920587e-45	0.427574290745588	Eef1g
Rpl6	1.40788792993887e-47	-0.250308258813344	0.98	1	1.91909203729967e-43	0.250308258813344	Rpl6
Klhl8	6.87426033486135e-47	-0.00731980513558457	0.026	0.171	9.3703042624495e-43	0.00731980513558457	Klhl8
A930029G22Rik	5.63366820283337e-45	0.0584986558232757	0.221	0.063	7.67925312728217e-41	0.0584986558232757	A930029G22Rik
Rpl35	8.15095102586197e-44	-0.314920944053769	0.891	0.988	1.11105613433525e-39	0.314920944053769	Rpl35
Mipol1	1.05945781813984e-43	0.0261040236765874	0.211	0.046	1.44414695190642e-39	0.0261040236765874	Mipol1
Dffa	1.52629714238813e-43	0.00822579035179238	0.05	0.196	2.08049563478926e-39	0.00822579035179238	Dffa
Cnksr3	2.19806164272465e-43	-0.0486116161219846	0.056	0.213	2.99617782519797e-39	0.0486116161219846	Cnksr3
Trav4-4-dv10	2.2502403852738e-43	0.0383993971780946	0.162	0.002	3.06730266916671e-39	0.0383993971780946	Trav4-4-dv10
Plxdc2	1.14551969012929e-41	0.0373726523852532	0.194	0.016	1.56145788961523e-37	0.0373726523852532	Plxdc2
Plxdc1	3.16019579222906e-41	0.00228723936724485	0.051	0.15	4.30766288438743e-37	0.00228723936724485	Plxdc1
Cd52	4.52805089304791e-41	0.317337401321213	0.986	0.994	6.17218617231361e-37	0.317337401321213	Cd52
Rpl35a	2.3029093366828e-40	-0.18327349878603	1	1	3.13909571683232e-36	0.18327349878603	Rpl35a
Gm10642	5.12025427599838e-40	0.017472541908188	0.148	0.007	6.9794186036134e-36	0.017472541908188	Gm10642
Arl8b	1.11133979278189e-39	-0.000717136246751987	0.094	0.243	1.51486727154099e-35	0.000717136246751987	Arl8b
B3glct	1.214075241065e-39	-0.00202584216647374	0.055	0.182	1.6549059610957e-35	0.00202584216647374	B3glct
1700029J07Rik	1.84158889610981e-38	0.036433001289137	0.167	0.011	2.51026982428728e-34	0.036433001289137	1700029J07Rik
Zpbp2	2.33300840763647e-38	0.00131114237333356	0.031	0.126	3.18012376044927e-34	0.00131114237333356	Zpbp2
Rsph3b	3.8962220948718e-38	-0.00121438548606163	0.007	0.103	5.31094033751976e-34	0.00121438548606163	Rsph3b
Eaf1	4.10635045453638e-38	-0.0162399139321957	0.046	0.15	5.59736630457854e-34	0.0162399139321957	Eaf1
Gm9493	8.31415528752263e-38	-0.43211796145355	0.508	0.786	1.13330250724221e-33	0.43211796145355	Gm9493
Nup37	2.19185653146957e-37	0.122339628788203	0.244	0.09	2.98771963804618e-33	0.122339628788203	Nup37
Slc23a2	2.49150740901751e-37	0.0356208757150705	0.23	0.079	3.39617374923177e-33	0.0356208757150705	Slc23a2
Pxmp2	3.05938874795348e-37	-0.0130760127119715	0.013	0.153	4.17025280233539e-33	0.0130760127119715	Pxmp2
Tubd1	7.94120519677424e-37	-0.0288459320061224	0.107	0.253	1.0824656803723e-32	0.0288459320061224	Tubd1
Zfp930	9.41065055813264e-37	-0.00705379861105039	0.087	0.21	1.28276577757906e-32	0.00705379861105039	Zfp930
Top1mt	1.07750132039679e-36	-0.0103207426259044	0.077	0.226	1.46874204983287e-32	0.0103207426259044	Top1mt
Jun	1.89711714243701e-36	-0.521766848246029	0.607	0.817	2.58596037685589e-32	0.521766848246029	Jun
Gm10131	1.90140861843834e-36	-0.0232058312804396	0.033	0.177	2.5918100877933e-32	0.0232058312804396	Gm10131
Ust	3.33749981831802e-36	-0.0142009861807858	0.055	0.21	4.54934600234929e-32	0.0142009861807858	Ust
Pfn1	1.37535184010451e-35	0.282357964333948	0.984	0.985	1.87474209324646e-31	0.282357964333948	Pfn1
Enkd1	2.79983083587169e-35	0.0119985970359682	0.125	0.022	3.81644941237671e-31	0.0119985970359682	Enkd1
Slc23a1	4.09216895994315e-35	0.000189575402254206	0.005	0.128	5.57803550929851e-31	0.000189575402254206	Slc23a1
Rwdd2b	2.62065413974944e-34	0.0150814638613612	0.077	0.189	3.57221365789246e-30	0.0150814638613612	Rwdd2b
Ccdc114	2.74409079567182e-34	-0.0137338664100575	0.034	0.189	3.74047016358026e-30	0.0137338664100575	Ccdc114
Ccng1	5.73271377875593e-34	0.0472022506536761	0.129	0.271	7.81426215182221e-30	0.0472022506536761	Ccng1
Gm2245	6.59107941156401e-34	-0.00297227657622583	0.02	0.169	8.98430034590289e-30	0.00297227657622583	Gm2245
1700092M07Rik	8.20429632629133e-34	-0.0114974388119894	0.001	0.126	1.11832763223677e-29	0.0114974388119894	1700092M07Rik
Rpl19	9.13362161110744e-34	-0.175647400346734	0.999	1	1.24500396181006e-29	0.175647400346734	Rpl19
Nup54	9.25072082569231e-34	0.0273507434664506	0.078	0.21	1.26096575575012e-29	0.0273507434664506	Nup54
Ccdc92	1.06111981105559e-33	-0.00623289408783753	0.106	0.234	1.44641241444987e-29	0.00623289408783753	Ccdc92
Vwa1	2.55712133069318e-33	0.000211621050493788	0.111	0.008	3.48561208586787e-29	0.000211621050493788	Vwa1
Ramp1	3.02888234565408e-33	0.642730504038017	0.563	0.39	4.12866952536107e-29	0.642730504038017	Ramp1
Tpt1	3.05935248560509e-33	-0.213506409383721	0.98	0.999	4.1702033731283e-29	0.213506409383721	Tpt1
Egr4	4.53991344110843e-33	0.014290555645297	0.128	0.002	6.1883560115749e-29	0.014290555645297	Egr4
Rpl5	5.22476845695545e-33	-0.314888452118183	0.833	0.959	7.12188188367597e-29	0.314888452118183	Rpl5
Cdc42ep4	5.43151189107965e-33	-0.011301128110229	0.045	0.192	7.40369385873066e-29	0.011301128110229	Cdc42ep4
Mx1	7.22525645122068e-33	0.00830449246401707	0.147	0.012	9.84874706865891e-29	0.00830449246401707	Mx1
Rps11	8.98177731857387e-33	-0.201181005097974	0.993	1	1.2243060662948e-28	0.201181005097974	Rps11
Scn2b	1.90164334879071e-32	-0.00884920505836647	0.009	0.132	2.59213004873661e-28	0.00884920505836647	Scn2b
Gna12	2.20786650675022e-32	-0.0172576457238697	0.028	0.13	3.00954283535122e-28	0.0172576457238697	Gna12
2610020C07Rik	2.33285517681101e-32	-0.00983884774024413	0.078	0.17	3.17991489151109e-28	0.00983884774024413	2610020C07Rik
Rps27rt	2.51869716472043e-32	-0.219913610993336	0.972	0.996	3.43323610523042e-28	0.219913610993336	Rps27rt
Mapre2	2.64925800032253e-32	-0.116884827208309	0.141	0.28	3.61120358023963e-28	0.116884827208309	Mapre2
Taf8	3.19422076691054e-32	-0.0015651643157919	0.1	0.238	4.35404232737576e-28	0.0015651643157919	Taf8
Plekhm1	3.57266642402819e-32	0.0125853937801098	0.03	0.132	4.86990160259283e-28	0.0125853937801098	Plekhm1
Nup188	3.63369254614506e-32	0.00820697281793073	0.085	0.203	4.95308630965033e-28	0.00820697281793073	Nup188
Kmt5a	3.85885148691023e-32	-0.0850727591629041	0.092	0.226	5.26000046180734e-28	0.0850727591629041	Kmt5a
4933440M02Rik	4.84590889397949e-32	0.0292067481770193	0.118	0.012	6.60545841338345e-28	0.0292067481770193	4933440M02Rik
Hist4h4	6.60079252708945e-32	-0.0677865727741975	0.086	0.225	8.99754029367562e-28	0.0677865727741975	Hist4h4
BC028528	1.12024307572225e-31	0.00515665226791554	0.03	0.169	1.527003336517e-27	0.00515665226791554	BC028528
Trav16	1.66743017730813e-31	0.00914986911659706	0.134	0.03	2.27287407468871e-27	0.00914986911659706	Trav16
Syde1	1.74724251253691e-31	0.0246135587186619	0.154	0.014	2.38166626883906e-27	0.0246135587186619	Syde1
Wdr66	2.20793025300247e-31	0.0221748443536541	0.144	0.008	3.00962972786766e-27	0.0221748443536541	Wdr66
Arhgap17	2.40566627743498e-31	-0.0198812651900873	0.087	0.215	3.27916370277163e-27	0.0198812651900873	Arhgap17
Manba	2.51067220775567e-31	0.0072655622264332	0.066	0.175	3.42229728639175e-27	0.0072655622264332	Manba
Rilpl1	3.13863475463338e-31	-0.0338507678719331	0.047	0.21	4.27827303404075e-27	0.0338507678719331	Rilpl1
Gm10382	4.28376988687294e-31	0.00540176649572262	0.128	0.005	5.8392067327965e-27	0.00540176649572262	Gm10382
Sntb1	5.38153572495496e-31	-0.0156573163118422	0.217	0.103	7.3355713466861e-27	0.0156573163118422	Sntb1
Rps21	6.54315319283289e-31	-0.231747951870938	0.948	0.99	8.91897211715052e-27	0.231747951870938	Rps21
Ptdss2	7.3419495481548e-31	-0.0300394622680117	0.062	0.126	1.00078114290898e-26	0.0300394622680117	Ptdss2
Sil1	8.42653551810464e-31	-0.00739691158451619	0.099	0.233	1.14862105647284e-26	0.00739691158451619	Sil1
Zfp747	8.69072159594482e-31	-0.0161113064610082	0.086	0.215	1.18463226074324e-26	0.0161113064610082	Zfp747
Boll	2.5768336849055e-30	-0.00292848749500409	0.011	0.109	3.51248199589468e-26	0.00292848749500409	Boll
Spata48	3.17824256915339e-30	-0.0145289540170658	0.028	0.17	4.33226244601298e-26	0.0145289540170658	Spata48
Gm15417	3.31890422126989e-30	0.0189406309830352	0.184	0.044	4.52399834401298e-26	0.0189406309830352	Gm15417
5330417C22Rik	5.22629954788791e-30	0.00442494993935047	0.033	0.11	7.12396891372601e-26	0.00442494993935047	5330417C22Rik
Tmem189	5.31548572256537e-30	0.00230099881257395	0.102	0.226	7.24553858842886e-26	0.00230099881257395	Tmem189
Pkd1l3	5.71876775355798e-30	-0.0156881089517053	0.037	0.186	7.79525232487488e-26	0.0156881089517053	Pkd1l3
Rpl7	9.34420648977e-30	-0.222604952890383	0.956	0.996	1.27370878662055e-25	0.222604952890383	Rpl7
Eef2	1.33758843683021e-29	-0.302617690750028	0.792	0.945	1.82326679824326e-25	0.302617690750028	Eef2
Bex1	1.49790577056832e-29	-0.00970185905143149	0.01	0.132	2.04179535586168e-25	0.00970185905143149	Bex1
Nsun4	2.07844388455872e-29	-0.0340544337029864	0.096	0.22	2.83312685904198e-25	0.0340544337029864	Nsun4
3110001I22Rik	3.25452290331171e-29	0.0517702179186962	0.207	0.079	4.4362401695042e-25	0.0517702179186962	3110001I22Rik
Eya3	3.28002895016196e-29	-0.0433732357615195	0.047	0.164	4.47100746196577e-25	0.0433732357615195	Eya3
Arl8a	3.36932997244845e-29	0.0045141731786023	0.058	0.164	4.59273368544449e-25	0.0045141731786023	Arl8a
Rps17	3.3973335922827e-29	-0.211521000735128	0.973	0.993	4.63090541964055e-25	0.211521000735128	Rps17
Cyb5d2	3.47736858956594e-29	-0.0131353543733482	0.061	0.181	4.74000112443734e-25	0.0131353543733482	Cyb5d2
Gdf11	3.72202609173204e-29	-0.00654025471435642	0.028	0.171	5.07349376563995e-25	0.00654025471435642	Gdf11
Ube4b	4.12993232907257e-29	-0.00837361812233764	0.108	0.237	5.62951075775883e-25	0.00837361812233764	Ube4b
Pigc	4.22955212753443e-29	-0.0380142586201891	0.097	0.213	5.76530250504217e-25	0.0380142586201891	Pigc
1700062C10Rik	5.29360590011491e-29	-0.0476791465970183	0.1	0.232	7.21571420244663e-25	0.0476791465970183	1700062C10Rik
Gne	5.39955771049128e-29	-0.0279551418538285	0.091	0.214	7.36013711517066e-25	0.0279551418538285	Gne
Rpl22	7.93824444745211e-29	-0.266181406895129	0.857	0.977	1.0820621006322e-24	0.266181406895129	Rpl22
Rps25	1.12353068449363e-28	-0.205386438903353	0.975	0.999	1.53148467603327e-24	0.205386438903353	Rps25
Hmbox1	1.33304800392301e-28	0.0410823382130325	0.11	0.219	1.81707773414746e-24	0.0410823382130325	Hmbox1
Apobr	1.81717326494406e-28	-0.00676759039744336	0.061	0.159	2.47698887744525e-24	0.00676759039744336	Apobr
Dyrk3	2.16384124884605e-28	-0.00688578833430873	0.018	0.146	2.94953200630204e-24	0.00688578833430873	Dyrk3
Krt83	2.19113091214231e-28	0.0172183111143478	0.146	0.022	2.98673054634118e-24	0.0172183111143478	Krt83
Dapl1	2.21365541797511e-28	-0.963944998794537	0.264	0.466	3.01743370024187e-24	0.963944998794537	Dapl1
Nradd	2.31972810550151e-28	0.0106178864698779	0.149	0.047	3.16202138060911e-24	0.0106178864698779	Nradd
Rpl11	2.85829181091654e-28	-0.170923744934494	0.99	1	3.89613756746033e-24	0.170923744934494	Rpl11
Gm17056	3.78446430639272e-28	-0.0160413386782317	0.069	0.176	5.15860329604392e-24	0.0160413386782317	Gm17056
Rpl28	5.24189659659121e-28	-0.223819040327399	0.923	0.992	7.14522925081347e-24	0.223819040327399	Rpl28
Ppp1r15a	5.45335914221775e-28	-0.375717232108856	0.474	0.679	7.43347384675701e-24	0.375717232108856	Ppp1r15a
Pip5k1c	7.69975877842664e-28	-0.0126084315512863	0.107	0.225	1.04955411908734e-23	0.0126084315512863	Pip5k1c
Ubr1	8.30560811923241e-28	-0.0280148585733312	0.09	0.222	1.13213744273257e-23	0.0280148585733312	Ubr1
Gm47117	9.58824780124467e-28	0.0260353376446051	0.191	0.044	1.30697405778766e-23	0.0260353376446051	Gm47117
Ston2	1.14052406367056e-27	0.0274454012663224	0.159	0.024	1.55464835118933e-23	0.0274454012663224	Ston2
Gm6566	1.15558739615219e-27	-0.00110038608082157	0.025	0.118	1.57518117969505e-23	0.00110038608082157	Gm6566
Cyp4v3	1.1563804409682e-27	-0.00374821621043681	0.052	0.178	1.57626217908376e-23	0.00374821621043681	Cyp4v3
Abcg2	1.27112676592457e-27	-0.00608846170589349	0.016	0.126	1.73267289463179e-23	0.00608846170589349	Abcg2
Exoc3l	1.39195257397663e-27	-0.00461593662163103	0.134	0.013	1.89737055358754e-23	0.00461593662163103	Exoc3l
Rpl21	1.90412208312581e-27	-0.18235568437087	0.991	0.999	2.59550881150879e-23	0.18235568437087	Rpl21
D930028M14Rik	2.2376149565216e-27	0.0550446966557196	0.128	0.255	3.05009294723459e-23	0.0550446966557196	D930028M14Rik
Stom	2.78258000810305e-27	-0.0153423336162415	0.029	0.165	3.79293480904527e-23	0.0153423336162415	Stom
Ptges2	2.82534201403071e-27	0.0234461293655029	0.115	0.227	3.85122369932526e-23	0.0234461293655029	Ptges2
Plpp5	2.90230855320213e-27	0.033365447492225	0.147	0.011	3.95613678886982e-23	0.033365447492225	Plpp5
Oxr1	3.32358622609983e-27	0.01893744980162	0.1	0.225	4.53038038479667e-23	0.01893744980162	Oxr1
Cdkn1a	6.02611062688164e-27	-0.0369725570097049	0.093	0.243	8.21419139550237e-23	0.0369725570097049	Cdkn1a
Zfp35	6.09622189468279e-27	0.0663949227911391	0.169	0.033	8.30976006464212e-23	0.0663949227911391	Zfp35
Snx25	6.63734366796394e-27	0.0108707863420404	0.033	0.103	9.04736315380165e-23	0.0108707863420404	Snx25
Sgpp1	7.17360636550004e-27	-0.0396140224971645	0.081	0.199	9.77834283681311e-23	0.0396140224971645	Sgpp1
Snhg11	8.56534539323656e-27	-0.0160636231393654	0.047	0.188	1.16754223055207e-22	0.0160636231393654	Snhg11
Zfyve16	8.80826526962936e-27	-0.00407898418526197	0.036	0.14	1.20065463890318e-22	0.00407898418526197	Zfyve16
Iqsec1	8.99147166773615e-27	0.0683955892378415	0.232	0.112	1.22562750302911e-22	0.0683955892378415	Iqsec1
Alg6	9.76903945389079e-27	-0.0204632302469768	0.063	0.203	1.33161776795985e-22	0.0204632302469768	Alg6
Mettl7a1	9.89452397544014e-27	0.00733587682260886	0.176	0.055	1.34872256309225e-22	0.00733587682260886	Mettl7a1
Rpl30	1.38597176053063e-26	-0.201487074173302	0.947	0.992	1.88921810677931e-22	0.201487074173302	Rpl30
Zfp59	2.17428869971995e-26	8.55385220244137e-05	0.011	0.122	2.96377292658827e-22	8.55385220244137e-05	Zfp59
Hnrnpll	2.18917530527217e-26	0.0772458375161209	0.107	0.223	2.98406485861649e-22	0.0772458375161209	Hnrnpll
Kdm4c	3.0920365666516e-26	0.0308472942296282	0.104	0.215	4.21475504400279e-22	0.0308472942296282	Kdm4c
Tasp1	3.20460224003523e-26	0.0719758451479123	0.136	0.257	4.36819331339203e-22	0.0719758451479123	Tasp1
Glyctk	3.27738247683421e-26	-0.0211857505051668	0.043	0.148	4.46740005417271e-22	0.0211857505051668	Glyctk
Ccdc122	3.89880408639951e-26	0.00208094061395052	0.012	0.142	5.31445985017117e-22	0.00208094061395052	Ccdc122
Wfdc17	3.90217337465604e-26	0.0274957550117196	0.016	0.135	5.31905252699365e-22	0.0274957550117196	Wfdc17
Gm28053	4.35553165244738e-26	-0.018053464118338	0.028	0.157	5.93702519545102e-22	0.018053464118338	Gm28053
Fos	5.5549471097783e-26	-0.526013140903457	0.428	0.61	7.5719484053388e-22	0.526013140903457	Fos
Zfp408	6.44824155607613e-26	0.0328430541913072	0.19	0.091	8.78959806508738e-22	0.0328430541913072	Zfp408
Slc12a4	6.83236541322821e-26	0.0228730486450964	0.101	0.218	9.31319729477137e-22	0.0228730486450964	Slc12a4
Mkln1os	7.17256504129053e-26	-0.00348394860199753	0.031	0.16	9.77692340778312e-22	0.00348394860199753	Mkln1os
Ankrd52	1.14047481298284e-25	0.0324507660385408	0.232	0.077	1.55458121757692e-21	0.0324507660385408	Ankrd52
Afdn	1.39340955526148e-25	-0.025137347498234	0.012	0.131	1.89935656477692e-21	0.025137347498234	Afdn
Tbc1d22b	1.41542715218913e-25	0.013564694636017	0.176	0.077	1.929368751149e-21	0.013564694636017	Tbc1d22b
Gm44756	1.41699435589894e-25	-0.00829612868720339	0.021	0.118	1.93150500652585e-21	0.00829612868720339	Gm44756
5430402O13Rik	1.46221929235483e-25	0.0274221718276938	0.181	0.049	1.99315111740887e-21	0.0274221718276938	5430402O13Rik
Ehd3	1.78496979460006e-25	0.0444654454603239	0.155	0.289	2.43309232701934e-21	0.0444654454603239	Ehd3
Hspe1	1.81544738723059e-25	-0.355883169828358	0.516	0.766	2.47463633353401e-21	0.355883169828358	Hspe1
Tmem65	2.31537447825095e-25	-0.0233363224411256	0.061	0.186	3.15608695130387e-21	0.0233363224411256	Tmem65
Apoc4	2.45357329184853e-25	-0.00533955771880638	0.037	0.171	3.34446575411873e-21	0.00533955771880638	Apoc4
Gm26759	2.45400095199913e-25	-0.00214972681514079	0.087	0.191	3.34504869767002e-21	0.00214972681514079	Gm26759
Surf6	2.67601055223867e-25	0.00700995369721241	0.133	0.246	3.64766998375653e-21	0.00700995369721241	Surf6
Gm20498	3.45029918239251e-25	-0.00719642486510209	0.044	0.181	4.70310281551923e-21	0.00719642486510209	Gm20498
Tmsb10	4.15967550786818e-25	0.148534403873853	1	1	5.67005368477512e-21	0.148534403873853	Tmsb10
Man2a2	4.17407156267616e-25	0.0227480375082483	0.102	0.205	5.68967694708387e-21	0.0227480375082483	Man2a2
Fth1	4.25052325607261e-25	0.31161622512651	0.943	0.946	5.79388825035258e-21	0.31161622512651	Fth1
Btg1	4.75547743195318e-25	0.36456623450584	0.955	0.955	6.48219128749537e-21	0.36456623450584	Btg1
2900060B14Rik	5.04263826019718e-25	-0.0460593101567729	0.093	0.208	6.87362021247477e-21	0.0460593101567729	2900060B14Rik
Bloc1s6os	5.17671580428297e-25	-0.0259746013792704	0.067	0.191	7.05638131281811e-21	0.0259746013792704	Bloc1s6os
Nckipsd	5.19688855508899e-25	-0.00101431334160024	0.02	0.147	7.0838787894418e-21	0.00101431334160024	Nckipsd
Zfp607a	5.76543592621812e-25	0.0356162657713818	0.185	0.04	7.85886571102792e-21	0.0356162657713818	Zfp607a
Ccdc62	6.15442027423843e-25	-0.0197042672339648	0.131	0.03	8.3890902758144e-21	0.0197042672339648	Ccdc62
Mipep	6.33275654328577e-25	-0.00775899974570056	0.061	0.172	8.63218044415283e-21	0.00775899974570056	Mipep
Tm2d3	7.73482104939683e-25	0.14759567618197	0.227	0.102	1.05433345724328e-20	0.14759567618197	Tm2d3
Marcks	9.06779734873582e-25	0.0341589981708307	0.18	0.046	1.23603145660618e-20	0.0341589981708307	Marcks
Lypd1	9.6017951209033e-25	-0.0130598801616658	0.004	0.102	1.30882069293033e-20	0.0130598801616658	Lypd1
Zranb3	1.19691195735876e-24	-0.0199734610893538	0.02	0.115	1.63151068907573e-20	0.0199734610893538	Zranb3
Atf3	1.20434842953913e-24	-0.0316354499103273	0.079	0.229	1.64164734430478e-20	0.0316354499103273	Atf3
